id,gene,chrom,chromStart,chromEnd,strand,gene_length
ENSG00000240563.1,L1TD1,chr1,62194831,62212328,+,17498
ENSG00000157330.8,C1orf158,chr1,12746215,12763699,+,17485
ENSG00000163444.10,TMEM183A,chr1,203007386,203024848,+,17463
ENSG00000131791.7,PRKAB2,chr1,147155106,147172550,-,17445
ENSG00000143633.11,C1orf131,chr1,231223763,231241187,-,17425
ENSG00000162777.15,DENND2D,chr1,111187174,111204535,-,17362
ENSG00000049089.12,COL9A2,chr1,40300487,40317816,-,17330
ENSG00000134690.9,CDCA8,chr1,37692418,37709719,+,17302
ENSG00000158864.11,NDUFS2,chr1,161197104,161214395,+,17292
ENSG00000117036.10,ETV3,chr1,157121191,157138474,-,17284
ENSG00000127125.8,PPCS,chr1,42456117,42473385,+,17269
ENSG00000034971.13,MYOC,chr1,171635417,171652683,-,17267
ENSG00000119535.16,CSF3R,chr1,36466043,36483278,-,17236
ENSG00000131584.17,ACAP3,chr1,1292376,1309609,-,17234
ENSG00000198837.8,DENND4B,chr1,153929501,153946696,-,17196
ENSG00000152904.10,GGPS1,chr1,235327350,235344532,+,17183
ENSG00000116670.13,MAD2L2,chr1,11674480,11691650,-,17171
ENSG00000265107.2,GJA5,chr1,147756199,147773362,-,17164
ENSG00000158022.6,TRIM63,chr1,26051304,26068436,-,17133
ENSG00000163357.9,DCST1,chr1,155033824,155050930,+,17107
ENSG00000040487.11,PQLC2,chr1,19312326,19329300,+,16975
ENSG00000117650.11,NEK2,chr1,211658657,211675630,-,16974
ENSG00000143157.10,POGK,chr1,166839447,166856344,+,16898
ENSG00000121931.14,LRIF1,chr1,110947185,110964079,-,16895
ENSG00000198574.5,SH2D1B,chr1,162395266,162412138,-,16873
ENSG00000116560.9,SFPQ,chr1,35176378,35193148,-,16771
ENSG00000215784.5,FAM72D,chr1,145096000,145112696,+,16697
ENSG00000134183.10,GNAT2,chr1,109603267,109619929,-,16663
ENSG00000186283.12,TOR3A,chr1,179081377,179098023,+,16647
ENSG00000117010.14,ZNF684,chr1,40531561,40548169,+,16609
ENSG00000158008.8,EXTL1,chr1,26019884,26036464,+,16581
ENSG00000143761.12,ARF1,chr1,228082660,228099212,+,16553
ENSG00000137976.7,DNASE2B,chr1,84398532,84415018,+,16487
ENSG00000181873.11,IBA57,chr1,228165815,228182257,+,16443
ENSG00000198570.5,RD3,chr1,211476522,211492917,-,16396
ENSG00000171872.4,KLF17,chr1,44118850,44135140,+,16291
ENSG00000134748.12,PRPF38A,chr1,52404564,52420839,+,16276
ENSG00000117226.10,GBP3,chr1,89006666,89022894,-,16229
ENSG00000175137.10,SH3BP5L,chr1,248810446,248826633,-,16188
ENSG00000187980.6,PLA2G2C,chr1,20161253,20177424,-,16172
ENSG00000188529.13,SRSF10,chr1,23964804,23980927,-,16124
ENSG00000132677.11,RHBG,chr1,156369212,156385219,+,16008
ENSG00000160049.10,DFFA,chr1,10456522,10472526,-,16005
ENSG00000090621.12,PABPC4,chr1,39560816,39576790,-,15975
ENSG00000116337.14,AMPD2,chr1,109616104,109632051,+,15948
ENSG00000174567.7,GOLT1A,chr1,204198160,204214092,-,15933
ENSG00000162367.10,TAL1,chr1,47216290,47232220,-,15931
ENSG00000160685.12,ZBTB7B,chr1,155002630,155018522,+,15893
ENSG00000185519.8,FAM131C,chr1,16057769,16073632,-,15864
ENSG00000158286.11,RNF207,chr1,6205475,6221299,+,15825
ENSG00000163909.7,HEYL,chr1,39624153,39639945,-,15793
ENSG00000026751.15,SLAMF7,chr1,160739057,160754821,+,15765
ENSG00000181036.12,FCRL6,chr1,159800511,159816251,+,15741
ENSG00000162736.14,NCSTN,chr1,160343272,160358952,+,15681
ENSG00000176444.17,CLK2,chr1,155262868,155278491,-,15624
ENSG00000135828.10,RNASEL,chr1,182573634,182589256,-,15623
ENSG00000183520.10,UTP11L,chr1,38009258,38024824,+,15567
ENSG00000023902.12,PLEKHO1,chr1,150149183,150164720,+,15538
ENSG00000188783.5,PRELP,chr1,203475828,203491352,+,15525
ENSG00000143028.8,SYPL2,chr1,109466628,109482137,+,15510
ENSG00000162607.11,USP1,chr1,62436297,62451804,+,15508
ENSG00000213625.7,LEPROT,chr1,65420587,65436007,+,15421
ENSG00000163191.5,S100A11,chr1,152032506,152047907,-,15402
ENSG00000142615.7,CELA2A,chr1,15456728,15472091,+,15364
ENSG00000169418.9,NPR1,chr1,153678637,153693992,+,15356
ENSG00000189171.12,S100A13,chr1,153618787,153634092,-,15306
ENSG00000163354.13,DCST2,chr1,155018520,155033781,-,15262
ENSG00000266472.4,MRPS21,chr1,150293720,150308979,+,15260
ENSG00000197530.11,MIB2,chr1,1615415,1630610,+,15196
ENSG00000186510.10,CLCNKA,chr1,16018875,16034050,+,15176
ENSG00000134375.9,TIMM17A,chr1,201955491,201970661,+,15171
ENSG00000078808.15,SDF4,chr1,1216908,1232031,-,15124
ENSG00000188976.9,NOC2L,chr1,944204,959309,-,15106
ENSG00000162517.11,PEF1,chr1,31629862,31644896,-,15035
ENSG00000143434.14,SEMA6C,chr1,151131685,151146664,-,14980
ENSG00000117400.13,MPL,chr1,43337807,43352772,+,14966
ENSG00000162704.14,ARPC5,chr1,183620846,183635757,-,14912
ENSG00000168389.16,MFSD2A,chr1,39955112,39969968,+,14857
ENSG00000116824.4,CD2,chr1,116754385,116769228,+,14844
ENSG00000174574.14,AKIRIN1,chr1,38991223,39006059,+,14837
ENSG00000121764.10,HCRTR1,chr1,31617686,31632518,+,14833
ENSG00000116237.14,ICMT,chr1,6221193,6235972,-,14780
ENSG00000142632.15,ARHGEF19,chr1,16197854,16212609,-,14756
ENSG00000158859.9,ADAMTS4,chr1,161184308,161199056,-,14749
ENSG00000188770.8,OPTC,chr1,203494143,203508864,+,14722
ENSG00000221986.5,MYBPHL,chr1,109292365,109307041,-,14677
ENSG00000196188.9,CTSE,chr1,206009264,206023909,-,14646
ENSG00000143851.14,PTPN7,chr1,202147013,202161588,-,14576
ENSG00000159164.8,SV2A,chr1,149903318,149917882,-,14565
ENSG00000143418.18,CERS2,chr1,150960583,150975004,-,14422
ENSG00000159409.13,CELF3,chr1,151702404,151716814,-,14411
ENSG00000175087.8,PDIK1L,chr1,26111165,26125543,+,14379
ENSG00000162391.10,FAM151A,chr1,54609182,54623556,-,14375
ENSG00000137965.9,IFI44,chr1,78649796,78664078,+,14283
ENSG00000158748.3,HTR6,chr1,19665287,19679562,+,14276
ENSG00000186501.13,TMEM222,chr1,27322145,27336400,+,14256
ENSG00000182795.12,C1orf116,chr1,207018521,207032756,-,14236
ENSG00000142751.13,GPN2,chr1,26876133,26890297,-,14165
ENSG00000121851.11,POLR3GL,chr1,145964702,145978848,+,14147
ENSG00000116752.5,BCAS2,chr1,114567557,114581639,-,14083
ENSG00000107404.16,DVL1,chr1,1335276,1349350,-,14075
ENSG00000198758.9,EPS8L3,chr1,109750080,109764027,-,13948
ENSG00000143612.17,C1orf43,chr1,154206706,154220628,-,13923
ENSG00000116459.9,ATP5F1,chr1,111448864,111462773,+,13910
ENSG00000123080.9,CDKN2C,chr1,50960745,50974633,+,13889
ENSG00000154451.13,GBP5,chr1,89258950,89272804,-,13855
ENSG00000082497.10,SERTAD4,chr1,210232799,210246631,+,13833
ENSG00000185220.10,PGBD2,chr1,248906196,248919946,+,13751
ENSG00000157916.17,RER1,chr1,2391775,2405444,+,13670
ENSG00000067334.12,DNTTIP2,chr1,93866283,93879918,-,13636
ENSG00000163156.10,SCNM1,chr1,151156664,151170297,+,13634
ENSG00000158292.6,GPR153,chr1,6247346,6260975,-,13630
ENSG00000221978.10,CCNL2,chr1,1385711,1399328,-,13618
ENSG00000143412.8,ANXA9,chr1,150982017,150995634,+,13618
ENSG00000197520.9,FAM177B,chr1,222737207,222750805,+,13599
ENSG00000143622.9,RIT1,chr1,155897808,155911404,-,13597
ENSG00000117601.12,SERPINC1,chr1,173903804,173917378,-,13575
ENSG00000184908.16,CLCNKB,chr1,16043736,16057308,+,13573
ENSG00000123685.7,BATF3,chr1,212686418,212699985,-,13568
ENSG00000154007.6,ASB17,chr1,75918873,75932431,-,13559
ENSG00000197780.8,TAF13,chr1,109062486,109076002,-,13517
ENSG00000213516.8,RBMXL1,chr1,88979456,88992960,-,13505
ENSG00000117691.8,NENF,chr1,212432887,212446379,+,13493
ENSG00000085465.12,OVGP1,chr1,111414314,111427777,-,13464
ENSG00000169231.12,THBS3,chr1,155195588,155209051,-,13464
ENSG00000187608.7,ISG15,chr1,1001138,1014541,+,13404
ENSG00000153187.15,HNRNPU,chr1,244851166,244864542,-,13377
ENSG00000132763.13,MMACHC,chr1,45500053,45513382,+,13330
ENSG00000162639.14,HENMT1,chr1,108648290,108661526,-,13237
ENSG00000154370.12,TRIM11,chr1,228393673,228406840,-,13168
ENSG00000173660.10,UQCRH,chr1,46303631,46316776,+,13146
ENSG00000127054.17,CPSF3L,chr1,1311585,1324691,-,13107
ENSG00000189410.10,SH2D5,chr1,20719732,20732837,-,13106
ENSG00000122481.15,RWDD3,chr1,95234155,95247225,+,13071
ENSG00000116996.8,ZP4,chr1,237877864,237890922,-,13059
ENSG00000203785.7,SPRR2E,chr1,153093135,153106184,-,13050
ENSG00000116983.11,HPCAL4,chr1,39678648,39691689,-,13042
ENSG00000117228.9,GBP1,chr1,89052319,89065360,-,13042
ENSG00000187942.10,LDLRAD2,chr1,21812265,21825221,+,12957
ENSG00000116981.3,NT5C1A,chr1,39659121,39672038,-,12918
ENSG00000178096.8,BOLA1,chr1,149887890,149900798,+,12909
ENSG00000176083.16,ZNF683,chr1,26361634,26374522,-,12889
ENSG00000159527.3,PGLYRP3,chr1,153297862,153310718,-,12857
ENSG00000162526.6,TSSK3,chr1,32351521,32364312,+,12792
ENSG00000159352.14,PSMD4,chr1,151254703,151267479,+,12777
ENSG00000064703.10,DDX20,chr1,111755245,111768016,+,12772
ENSG00000116771.5,AGMAT,chr1,15572353,15585110,-,12758
ENSG00000118292.7,C1orf54,chr1,150268200,150280916,+,12717
ENSG00000162897.13,FCAMR,chr1,206957965,206970625,-,12661
ENSG00000143742.11,SRP9,chr1,225777813,225790466,+,12654
ENSG00000188984.10,AADACL3,chr1,12716115,12728759,+,12645
ENSG00000120333.4,MRPS14,chr1,175010789,175023425,-,12637
ENSG00000116691.9,MIIP,chr1,12019466,12032045,+,12580
ENSG00000117525.12,F3,chr1,94529225,94541800,-,12576
ENSG00000116161.16,CACYBP,chr1,174999163,175011715,+,12553
ENSG00000142675.16,CNKSR1,chr1,26177403,26189886,+,12484
ENSG00000121905.8,HPCA,chr1,32885994,32898441,+,12448
ENSG00000160838.12,LRRC71,chr1,156920650,156933094,+,12445
ENSG00000244414.5,CFHR1,chr1,196819757,196832189,+,12433
ENSG00000213281.4,NRAS,chr1,114704469,114716894,-,12426
ENSG00000188782.6,CATSPER4,chr1,26190561,26202968,+,12408
ENSG00000175279.20,APITD1,chr1,10430443,10442809,+,12367
ENSG00000160679.11,CHTOP,chr1,153633982,153646306,+,12325
ENSG00000162510.5,MATN1,chr1,30711277,30723587,-,12311
ENSG00000187048.11,CYP4A11,chr1,46929177,46941484,-,12308
ENSG00000162365.10,CYP4A22,chr1,47137435,47149741,+,12307
ENSG00000143409.14,FAM63A,chr1,150996086,151008375,-,12290
ENSG00000143630.8,HCN3,chr1,155277583,155289848,+,12266
ENSG00000163344.5,PMVK,chr1,154924734,154936991,-,12258
ENSG00000069812.10,HES2,chr1,6412418,6424670,-,12253
ENSG00000160716.4,CHRNB2,chr1,154567781,154580026,+,12246
ENSG00000117411.15,B4GALT2,chr1,43978943,43991170,+,12228
ENSG00000143537.12,ADAM15,chr1,155050566,155062775,+,12210
ENSG00000143387.11,CTSK,chr1,150796208,150808323,-,12116
ENSG00000162676.10,GFI1,chr1,92474762,92486876,-,12115
ENSG00000197915.5,HRNR,chr1,152212082,152224193,-,12112
ENSG00000160691.17,SHC1,chr1,154962298,154974395,-,12098
ENSG00000163346.15,PBXIP1,chr1,154944076,154956123,-,12048
ENSG00000117450.12,PRDX1,chr1,45511036,45523047,-,12012
ENSG00000162399.6,BSND,chr1,54998933,55010883,+,11951
ENSG00000160752.13,FDPS,chr1,155308748,155320666,+,11919
ENSG00000142765.16,SYTL1,chr1,27342020,27353937,+,11918
ENSG00000163479.12,SSR2,chr1,156009048,156020959,-,11912
ENSG00000135744.7,AGT,chr1,230702523,230714297,-,11775
ENSG00000162385.9,MAGOH,chr1,53226892,53238610,-,11719
ENSG00000158796.15,DEDD,chr1,161120974,161132688,-,11715
ENSG00000142733.13,MAP3K6,chr1,27355184,27366892,-,11709
ENSG00000143224.16,PPOX,chr1,161166410,161178013,+,11604
ENSG00000143627.16,PKLR,chr1,155289839,155301434,-,11596
ENSG00000162572.18,SCNN1D,chr1,1280436,1292029,+,11594
ENSG00000116574.5,RHOU,chr1,228735077,228746669,+,11593
ENSG00000143382.12,ADAMTSL4,chr1,150549369,150560937,+,11569
ENSG00000117592.8,PRDX6,chr1,173477266,173488807,+,11542
ENSG00000134253.8,TRIM45,chr1,117111060,117122587,-,11528
ENSG00000143839.13,REN,chr1,204154819,204166322,-,11504
ENSG00000143001.4,TMEM61,chr1,54980792,54992293,+,11502
ENSG00000197747.7,S100A10,chr1,151982915,151994390,-,11476
ENSG00000187730.7,GABRD,chr1,2019324,2030751,+,11428
ENSG00000143862.6,ARL8A,chr1,202133404,202144743,-,11340
ENSG00000143318.11,CASQ1,chr1,160190556,160201886,+,11331
ENSG00000131788.14,PIAS3,chr1,145848522,145859836,-,11315
ENSG00000132781.16,MUTYH,chr1,45329163,45340470,-,11308
ENSG00000171161.11,ZNF672,chr1,248838210,248849517,+,11308
ENSG00000143520.6,FLG2,chr1,152348735,152360006,-,11272
ENSG00000186973.9,FAM183A,chr1,43145153,43156396,+,11244
ENSG00000121769.6,FABP3,chr1,31365625,31376850,-,11226
ENSG00000052723.10,SIKE1,chr1,114769479,114780685,-,11207
ENSG00000142910.14,TINAGL1,chr1,31576485,31587686,+,11202
ENSG00000163462.16,TRIM46,chr1,155173787,155184971,+,11185
ENSG00000198912.9,C1orf174,chr1,3889125,3900293,-,11169
ENSG00000214114.7,MYCBP,chr1,38862964,38874105,-,11142
ENSG00000158786.4,PLA2G2F,chr1,20139326,20150386,+,11061
ENSG00000122188.11,LAX1,chr1,203765176,203776233,+,11058
ENSG00000163141.17,BNIPL,chr1,151036570,151047600,+,11031
ENSG00000120337.8,TNFSF18,chr1,173039960,173050963,-,11004
ENSG00000160741.15,CRTC2,chr1,153947669,153958625,-,10957
ENSG00000060642.9,PIGV,chr1,26787472,26798398,+,10927
ENSG00000203985.9,LDLRAD1,chr1,54007299,54018186,-,10888
ENSG00000117472.8,TSPAN1,chr1,46175073,46185958,+,10886
ENSG00000142789.18,CELA3A,chr1,22001656,22012539,+,10884
ENSG00000204478.8,PRAMEF20,chr1,13410450,13421328,+,10879
ENSG00000122176.10,FMOD,chr1,203340628,203351489,-,10862
ENSG00000142867.11,BCL10,chr1,85266248,85277090,-,10843
ENSG00000162438.10,CTRC,chr1,15438439,15449242,+,10804
ENSG00000130770.16,ATPIF1,chr1,28236109,28246906,+,10798
ENSG00000213190.3,MLLT11,chr1,151057758,151068497,+,10740
ENSG00000170075.8,GPR37L1,chr1,202122858,202133592,+,10735
ENSG00000041988.14,THAP3,chr1,6624866,6635586,+,10721
ENSG00000156150.6,ALX3,chr1,110059994,110070700,-,10707
ENSG00000116922.13,C1orf109,chr1,37681570,37692249,-,10680
ENSG00000027869.10,SH2D2A,chr1,156806243,156816862,-,10620
ENSG00000143373.16,ZNF687,chr1,151281618,151292180,+,10563
ENSG00000135821.15,GLUL,chr1,182381704,182392206,-,10503
ENSG00000158714.9,SLAMF8,chr1,159826750,159837249,+,10500
ENSG00000134262.11,AP4B1,chr1,113894748,113905201,-,10454
ENSG00000160714.8,UBE2Q1,chr1,154548577,154559028,-,10452
ENSG00000049247.12,UTS2,chr1,7843083,7853512,-,10430
ENSG00000116273.5,PHF13,chr1,6613685,6624033,+,10349
ENSG00000077152.8,UBE2T,chr1,202331657,202341980,-,10324
ENSG00000163472.17,TMEM79,chr1,156282935,156293185,+,10251
ENSG00000177628.14,GBA,chr1,155234452,155244699,-,10248
ENSG00000116663.9,FBXO6,chr1,11664124,11674354,+,10231
ENSG00000160753.14,RUSC1,chr1,155320896,155331114,+,10219
ENSG00000160097.14,FNDC5,chr1,32862268,32872482,-,10215
ENSG00000177868.10,CCDC23,chr1,42807052,42817252,-,10201
ENSG00000183155.4,RABIF,chr1,202878957,202889135,-,10179
ENSG00000049245.11,VAMP3,chr1,7771269,7781432,+,10164
ENSG00000182749.5,PAQR7,chr1,25861210,25871253,-,10044
ENSG00000162734.11,PEA15,chr1,160205337,160215376,+,10040
ENSG00000125945.13,ZNF436,chr1,23359448,23369442,-,9995
ENSG00000254726.2,MEX3A,chr1,156072013,156081998,-,9986
ENSG00000198746.11,GPATCH3,chr1,26890488,26900466,-,9979
ENSG00000198835.3,GJC2,chr1,228149852,228159826,+,9975
ENSG00000162543.5,UBXN10,chr1,20186085,20196048,+,9964
ENSG00000163879.10,DNALI1,chr1,37556919,37566857,+,9939
ENSG00000122406.11,RPL5,chr1,92832025,92841924,+,9900
ENSG00000150337.12,FCGR1A,chr1,149782671,149792518,+,9848
ENSG00000157911.8,PEX10,chr1,2403964,2413797,-,9834
ENSG00000057757.8,PITHD1,chr1,23778405,23788232,+,9828
ENSG00000163874.8,ZC3H12A,chr1,37474552,37484379,+,9828
ENSG00000117614.8,SYF2,chr1,25222679,25232502,-,9824
ENSG00000020129.14,NCDN,chr1,35557473,35567274,+,9802
ENSG00000244038.8,DDOST,chr1,20651767,20661544,-,9778
ENSG00000158764.6,ITLN2,chr1,160945025,160954799,-,9775
ENSG00000160688.17,FLAD1,chr1,154983338,154993111,+,9774
ENSG00000157873.16,TNFRSF14,chr1,2555639,2565382,+,9744
ENSG00000162642.12,C1orf52,chr1,85249953,85259672,-,9720
ENSG00000084623.10,EIF3I,chr1,32221928,32231604,+,9677
ENSG00000023572.7,GLRX2,chr1,193096468,193106114,-,9647
ENSG00000215864.5,NBPF7,chr1,119834870,119844514,-,9645
ENSG00000162735.17,PEX19,chr1,160276812,160286348,-,9537
ENSG00000116455.12,WDR77,chr1,111439890,111449376,-,9487
ENSG00000134186.10,PRPF38B,chr1,108692323,108701803,+,9481
ENSG00000188761.10,BCL2L15,chr1,113878168,113887547,-,9380
ENSG00000187583.9,PLEKHN1,chr1,966497,975865,+,9369
ENSG00000132698.12,RAB25,chr1,156061160,156070514,+,9355
ENSG00000162650.14,ATXN7L2,chr1,109483479,109492804,+,9326
ENSG00000162817.6,C1orf115,chr1,220689845,220699157,+,9313
ENSG00000204859.10,ZBTB48,chr1,6580001,6589280,+,9280
ENSG00000174876.15,AMY1B,chr1,103687415,103696680,-,9266
ENSG00000237763.8,AMY1A,chr1,103655290,103664554,+,9265
ENSG00000143621.15,ILF2,chr1,153661788,153671048,-,9261
ENSG00000163435.14,ELF3,chr1,202007945,202017188,+,9244
ENSG00000270601.3,PRAMEF5,chr1,13254198,13263435,+,9238
ENSG00000142961.13,MOB3C,chr1,46607715,46616891,-,9177
ENSG00000171163.14,ZNF692,chr1,248850006,248859144,-,9139
ENSG00000159450.11,TCHH,chr1,152106317,152115454,-,9138
ENSG00000180667.9,YOD1,chr1,207043849,207052980,-,9132
ENSG00000162576.15,MXRA8,chr1,1352689,1361777,-,9089
ENSG00000143570.16,SLC39A1,chr1,153959099,153968184,-,9086
ENSG00000143774.15,GUK1,chr1,228139962,228148984,+,9023
ENSG00000162728.4,KCNJ9,chr1,160081570,160090563,+,8994
ENSG00000203747.8,FCGR3A,chr1,161541759,161550737,-,8979
ENSG00000243480.6,AMY2A,chr1,103616811,103625780,+,8970
ENSG00000198019.11,FCGR1B,chr1,121087345,121096310,+,8966
ENSG00000132879.12,FBXO44,chr1,11654375,11663327,+,8953
ENSG00000182004.11,SNRPE,chr1,203861603,203870550,+,8948
ENSG00000118655.4,DCLRE1B,chr1,113905141,113914086,+,8946
ENSG00000162931.10,TRIM17,chr1,228407940,228416861,-,8922
ENSG00000137955.14,RABGGTB,chr1,75786197,75795079,+,8883
ENSG00000158014.13,SLC30A2,chr1,26037252,26046133,-,8882
ENSG00000174151.13,CYB561D1,chr1,109494052,109502932,+,8881
ENSG00000183386.8,FHL3,chr1,37996770,38005606,-,8837
ENSG00000126107.13,HECTD3,chr1,45002540,45011329,-,8790
ENSG00000173369.14,C1QB,chr1,22652762,22661538,+,8777
ENSG00000162747.8,FCGR3B,chr1,161623196,161631963,-,8768
ENSG00000116898.10,MRPS15,chr1,36455718,36464437,-,8720
ENSG00000090432.6,MUL1,chr1,20499448,20508161,-,8714
ENSG00000168159.10,RNF187,chr1,228487061,228495766,+,8706
ENSG00000132855.4,ANGPTL3,chr1,62597487,62606159,+,8673
ENSG00000143590.12,EFNA3,chr1,155078872,155087538,+,8667
ENSG00000143257.10,NR1I3,chr1,161229666,161238302,-,8637
ENSG00000073756.10,PTGS2,chr1,186671791,186680427,-,8637
ENSG00000158156.7,XKR8,chr1,27959462,27968096,+,8635
ENSG00000132688.10,NES,chr1,156668763,156677397,-,8635
ENSG00000179914.4,ITLN1,chr1,160876539,160885170,-,8632
ENSG00000053372.4,MRTO4,chr1,19251539,19260128,+,8590
ENSG00000156097.11,GPR61,chr1,109539872,109548406,+,8535
ENSG00000143303.10,RRNAD1,chr1,156728442,156736960,+,8519
ENSG00000143416.19,SELENBP1,chr1,151364302,151372733,-,8432
ENSG00000158615.8,PPP1R15B,chr1,204403387,204411791,-,8405
ENSG00000143450.13,OAZ3,chr1,151762969,151771332,+,8364
ENSG00000243284.1,VSIG8,chr1,159854316,159862657,-,8342
ENSG00000168653.9,NDUFS5,chr1,39026318,39034636,+,8319
ENSG00000187733.6,AMY1C,chr1,103750406,103758690,+,8285
ENSG00000160767.19,FAM189B,chr1,155247205,155255483,-,8279
ENSG00000014914.18,MTMR11,chr1,149928651,149936898,-,8248
ENSG00000174021.9,GNG5,chr1,84498325,84506565,-,8241
ENSG00000053371.11,AKR7A2,chr1,19303965,19312146,-,8182
ENSG00000162775.13,RBM15,chr1,110338506,110346681,+,8176
ENSG00000203859.8,HSD3B2,chr1,119414931,119423035,+,8105
ENSG00000143006.7,DMRTB1,chr1,53459399,53467488,+,8090
ENSG00000117152.12,RGS4,chr1,163068775,163076802,+,8028
ENSG00000179403.11,VWA1,chr1,1434861,1442882,+,8022
ENSG00000198049.6,AVPR1B,chr1,206109692,206117699,-,8008
ENSG00000133055.7,MYBPH,chr1,203167811,203175813,-,8003
ENSG00000118298.9,CA14,chr1,150257159,150265078,+,7920
ENSG00000179902.11,C1orf194,chr1,109105951,109113857,-,7907
ENSG00000160055.18,TMEM234,chr1,32214472,32222359,-,7888
ENSG00000203857.8,HSD3B1,chr1,119507198,119515054,+,7857
ENSG00000117560.7,FASLG,chr1,172659018,172666874,+,7857
ENSG00000133048.11,CHI3L1,chr1,203178931,203186749,-,7819
ENSG00000158246.7,FAM46B,chr1,27005020,27012836,-,7817
ENSG00000253831.1,ETV3L,chr1,157092044,157099808,-,7765
ENSG00000171790.14,SLFNL1,chr1,41015597,41023237,-,7641
ENSG00000117215.13,PLA2G2D,chr1,20111939,20119566,-,7628
ENSG00000158710.13,TAGLN2,chr1,159918107,159925732,-,7626
ENSG00000162396.5,PARS2,chr1,54756898,54764514,-,7617
ENSG00000162630.5,B3GALT2,chr1,193179045,193186654,-,7610
ENSG00000162729.12,IGSF8,chr1,160091340,160098943,-,7604
ENSG00000177551.5,NHLH2,chr1,115836377,115843917,-,7541
ENSG00000131779.9,PEX11B,chr1,145911350,145918837,-,7488
ENSG00000081721.10,DUSP12,chr1,161749758,161757238,+,7481
ENSG00000162366.6,PDZK1IP1,chr1,47183593,47191044,-,7452
ENSG00000116661.9,FBXO2,chr1,11648367,11655785,-,7419
ENSG00000169242.10,EFNA1,chr1,155127460,155134857,+,7398
ENSG00000132185.15,FCRLA,chr1,161706972,161714352,+,7381
ENSG00000158793.12,NIT1,chr1,161118086,161125445,+,7360
ENSG00000185090.13,MANEAL,chr1,37793802,37801137,+,7336
ENSG00000225855.5,RUSC1-AS1,chr1,155316863,155324176,-,7314
ENSG00000197587.9,DMBX1,chr1,46506996,46514226,+,7231
ENSG00000159596.6,TMEM69,chr1,45687214,45694443,+,7230
ENSG00000178028.12,DMAP1,chr1,44213455,44220681,+,7227
ENSG00000253368.3,TRNP1,chr1,26993707,27000898,+,7192
ENSG00000170385.9,SLC30A1,chr1,211571568,211578742,-,7175
ENSG00000164007.9,CLDN19,chr1,42733093,42740254,-,7162
ENSG00000179930.5,ZNF648,chr1,182054570,182061712,-,7143
ENSG00000215717.5,TMEM167B,chr1,109089803,109096934,+,7132
ENSG00000270882.2,HIST2H4A,chr1,149832659,149839767,+,7109
ENSG00000134202.9,GSTM3,chr1,109733932,109741038,-,7107
ENSG00000222009.7,BTBD19,chr1,44808482,44815585,+,7104
ENSG00000222046.2,DCDC2B,chr1,32209094,32216196,+,7103
ENSG00000185499.15,MUC1,chr1,155185824,155192916,-,7093
ENSG00000203668.1,CHML,chr1,241628853,241635930,-,7078
ENSG00000187862.10,TTC24,chr1,156579727,156586770,+,7044
ENSG00000160818.15,GPATCH4,chr1,156594487,156601496,-,7010
ENSG00000243073.3,PRAMEF4,chr1,12879224,12886201,-,6978
ENSG00000130772.12,MED18,chr1,28329002,28335967,+,6966
ENSG00000163263.6,C1orf189,chr1,154199372,154206333,-,6962
ENSG00000173627.7,APOBEC4,chr1,183646404,183653316,-,6913
ENSG00000143319.15,ISG20L2,chr1,156721891,156728799,-,6909
ENSG00000121900.17,TMEM54,chr1,32894594,32901438,-,6845
ENSG00000116685.14,KIAA2013,chr1,11919591,11926428,-,6838
ENSG00000143578.14,CREB3L4,chr1,153967534,153974363,+,6830
ENSG00000163348.3,PYGO2,chr1,154957026,154963853,-,6828
ENSG00000184599.12,FAM19A3,chr1,112720419,112727235,+,6817
ENSG00000239810.3,PRAMEF11,chr1,12824605,12831410,-,6806
ENSG00000196754.9,S100A2,chr1,153561108,153567890,-,6783
ENSG00000163206.5,SMCP,chr1,152878317,152885047,+,6731
ENSG00000158773.13,USF1,chr1,161039251,161045977,-,6727
ENSG00000143390.16,RFX5,chr1,151340640,151347357,-,6718
ENSG00000184330.10,S100A7A,chr1,153416524,153423225,+,6702
ENSG00000162892.14,IL24,chr1,206897443,206904139,+,6697
ENSG00000162482.4,AKR7A3,chr1,19282558,19289250,-,6693
ENSG00000116157.5,GPX7,chr1,52602372,52609051,+,6680
ENSG00000158850.13,B4GALT3,chr1,161171310,161177968,-,6659
ENSG00000181817.5,LSM10,chr1,36391238,36397892,-,6655
ENSG00000171819.4,ANGPTL7,chr1,11189341,11195981,+,6641
ENSG00000162746.13,FCRLB,chr1,161721563,161728143,+,6581
ENSG00000196154.10,S100A4,chr1,153543613,153550136,-,6524
ENSG00000162384.12,C1orf123,chr1,53214099,53220617,-,6519
ENSG00000116521.9,SCAMP3,chr1,155255979,155262430,-,6452
ENSG00000196407.10,THEM5,chr1,151847263,151853697,-,6435
ENSG00000132702.11,HAPLN2,chr1,156619294,156625725,+,6432
ENSG00000117122.12,MFAP2,chr1,16974502,16980835,-,6334
ENSG00000155366.15,RHOC,chr1,112701106,112707434,-,6329
ENSG00000163157.13,TMOD4,chr1,151169986,151176284,-,6299
ENSG00000143258.14,USP21,chr1,161159450,161165723,+,6274
ENSG00000188643.9,S100A16,chr1,153606886,153613145,-,6260
ENSG00000143320.7,CRABP2,chr1,156699606,156705816,-,6211
ENSG00000163155.10,LYSMD1,chr1,151159748,151165948,-,6201
